PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,RA_FGM,RA_FGA,RA_FG_PCT,Paint_FGM,Paint_FGA,Paint_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left_Corner_FGM,Left_Corner_FGA,Left_Corner_FG_PCT,Right_Corner_FGM,Right_Corner_FGA,Right_Corner_FG_PCT,Above_Break_FGM,Above_Break_FGA,Above_Break_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT
1626174,Christian Wood,1612709927,WIS,23.0,49,72,0.681,6,17,0.353,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,0.0,5,25,0.2,0.0,0.0,0.0
1629262,Cinmeon Bowers,1612709927,WIS,25.0,14,38,0.368,1,3,0.333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0.3,0.0,0.0,0.0
1629149,Codi Miller-McIntyre,1612709918,TEX,24.0,17,24,0.708,2,11,0.182,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,7,32,0.219,0.0,0.0,0.0
1628610,Cody Demps,1612709914,STO,25.0,20,26,0.769,6,19,0.316,0.0,7.0,0.0,2.0,3.0,0.667,1.0,5.0,0.2,6,19,0.316,0.0,0.0,0.0
1629276,Connor Burchfield,1612709890,AUS,23.0,1,1,1.0,1,2,0.5,1.0,3.0,0.333,0.0,1.0,0.0,0.0,2.0,0.0,4,11,0.364,0.0,0.0,0.0
1629287,Corey Henderson,1612709890,AUS,23.0,0,2,0.0,2,4,0.5,3.0,11.0,0.273,0.0,4.0,0.0,1.0,1.0,1.0,2,8,0.25,0.0,1.0,0.0
203928,Cory Jefferson,1612709909,DEL,27.0,13,19,0.684,3,9,0.333,4.0,8.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,19,47,0.404,0.0,0.0,0.0
201584,Courtney Lee,1612709919,WES,33.0,2,3,0.667,3,6,0.5,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1,7,0.143,0.0,0.0,0.0
1628591,Craig Sword,1612709913,ERI,24.0,29,43,0.674,3,7,0.429,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,3,8,0.375,0.0,0.0,0.0
1629081,D.J. Hogg,1612709909,DEL,22.0,15,22,0.682,2,7,0.286,2.0,6.0,0.333,3.0,6.0,0.5,6.0,9.0,0.667,21,63,0.333,0.0,0.0,0.0
1628391,D.J. Wilson,1612709927,WIS,22.0,9,10,0.9,1,2,0.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,5,12,0.417,0.0,0.0,0.0
203474,DJ Stephens,1612709926,MHU,27.0,6,11,0.545,0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.667,5,12,0.417,0.0,0.0,0.0
1628614,Dakarai Allen,1612709924,ACC,23.0,5,10,0.5,2,4,0.5,1.0,2.0,0.5,0.0,2.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0
1628026,Dakarai Tucker,1612709908,RGV,24.0,20,36,0.556,3,15,0.2,0.0,1.0,0.0,8.0,13.0,0.615,3.0,9.0,0.333,21,68,0.309,0.0,0.0,0.0
203193,Dallas Lauderdale,1612709915,MNE,30.0,26,31,0.839,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1627814,Damion Lee,1612709902,SCW,26.0,17,23,0.739,5,16,0.313,14.0,25.0,0.56,2.0,3.0,0.667,1.0,3.0,0.333,8,20,0.4,0.0,0.0,0.0
1628679,Daniel Dixon,1612709900,NAS,24.0,28,43,0.651,9,23,0.391,10.0,24.0,0.417,5.0,15.0,0.333,4.0,7.0,0.571,13,52,0.25,0.0,1.0,0.0
1627772,Daniel Hamilton,1612709913,ERI,23.0,15,26,0.577,4,9,0.444,0.0,1.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,2,10,0.2,0.0,0.0,0.0
1627849,Daniel Ochefu,1612709914,STO,24.0,41,53,0.774,9,29,0.31,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0.0
1627863,Danuel House Jr.,1612709908,RGV,25.0,28,49,0.571,0,5,0.0,2.0,3.0,0.667,1.0,3.0,0.333,1.0,3.0,0.333,12,38,0.316,0.0,0.0,0.0
1629211,Darel Poirier,1612709928,CAP,21.0,5,7,0.714,2,4,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0
203130,Darius Johnson-Odom,1612709911,IWA,29.0,66,83,0.795,9,19,0.474,8.0,25.0,0.32,0.0,3.0,0.0,1.0,5.0,0.2,24,64,0.375,0.0,1.0,0.0
202721,Darius Morris,1612709902,SCW,27.0,29,48,0.604,16,47,0.34,9.0,30.0,0.3,2.0,6.0,0.333,1.0,3.0,0.333,19,54,0.352,0.0,0.0,0.0
1629133,Daryl Macon,1612709918,TEX,23.0,43,58,0.741,12,37,0.324,32.0,66.0,0.485,4.0,7.0,0.571,1.0,4.0,0.25,20,74,0.27,0.0,1.0,0.0
1628432,Davon Reed,1612709910,FWN,23.0,15,34,0.441,4,19,0.211,10.0,30.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,22,59,0.373,0.0,1.0,0.0
1629207,Daxter Miles Jr.,1612709900,NAS,23.0,33,55,0.6,7,14,0.5,5.0,16.0,0.313,2.0,9.0,0.222,3.0,8.0,0.375,24,94,0.255,0.0,1.0,0.0
1629001,De'Anthony Melton,1612709900,NAS,20.0,11,20,0.55,8,15,0.533,8.0,19.0,0.421,1.0,1.0,1.0,0.0,0.0,0.0,7,33,0.212,0.0,0.0,0.0
202732,DeAndre Liggins,1612709904,SXF,30.0,3,6,0.5,0,1,0.0,4.0,8.0,0.5,2.0,5.0,0.4,3.0,10.0,0.3,21,38,0.553,0.0,0.0,0.0
201971,DeJuan Blair,1612709890,AUS,29.0,18,38,0.474,5,20,0.25,2.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1629152,DeVaughn Akoon-Purcell,1612709909,DEL,25.0,4,13,0.308,1,2,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,6,11,0.545,0.0,0.0,0.0
1628113,Demarcus Holland,1612709924,ACC,24.0,27,50,0.54,11,30,0.367,8.0,17.0,0.471,4.0,8.0,0.5,4.0,7.0,0.571,1,17,0.059,0.0,0.0,0.0
1629317,Demetre Rivers,1612709915,MNE,23.0,1,1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.0,,,
1629197,Demetrius Denzel-Dyson,1612709910,FWN,23.0,9,17,0.529,0,4,0.0,4.0,8.0,0.5,3.0,4.0,0.75,1.0,2.0,0.5,2,11,0.182,0.0,0.0,0.0
1627743,Demetrius Jackson,1612709909,DEL,24.0,33,53,0.623,5,15,0.333,0.0,4.0,0.0,1.0,5.0,0.2,1.0,7.0,0.143,11,31,0.355,0.0,0.0,0.0
1629061,Deng Adel,1612709920,RAP,21.0,42,74,0.568,9,26,0.346,5.0,12.0,0.417,3.0,7.0,0.429,3.0,7.0,0.429,11,44,0.25,0.0,1.0,0.0
203907,Deonte Burton,1612709903,SLC,27.0,4,9,0.444,2,4,0.5,1.0,6.0,0.167,1.0,2.0,0.5,0.0,0.0,0.0,5,13,0.385,0.0,0.0,0.0
1629126,Deonte Burton,1612709889,OKL,24.0,9,20,0.45,4,10,0.4,0.0,5.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,6,12,0.5,0.0,0.0,0.0
1627496,Derek Cooke Jr.,1612709900,NAS,27.0,49,92,0.533,4,15,0.267,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0
1629302,Derrick Griffin,1612709905,SBL,25.0,16,21,0.762,3,5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1629184,Desi Rodriguez,1612709924,ACC,22.0,35,44,0.795,6,20,0.3,3.0,11.0,0.273,4.0,9.0,0.444,2.0,6.0,0.333,4,21,0.19,0.0,0.0,0.0
1629195,Devin Davis,1612709925,LAK,23.0,11,21,0.524,6,13,0.462,3.0,7.0,0.429,0.0,1.0,0.0,1.0,1.0,1.0,2,14,0.143,0.0,1.0,0.0
1628421,Devin Robinson,1612709928,CAP,23.0,39,50,0.78,23,36,0.639,4.0,13.0,0.308,0.0,2.0,0.0,2.0,4.0,0.5,9,36,0.25,0.0,0.0,0.0
202464,Devin Sweetney,1612709928,CAP,31.0,0,2,0.0,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.25,0.0,0.0,0.0
1628654,Devon Baulkman,1612709919,WES,27.0,8,21,0.381,1,4,0.25,6.0,17.0,0.353,2.0,7.0,0.286,1.0,4.0,0.25,4,11,0.364,0.0,0.0,0.0
1628984,Devonte' Graham,1612709922,GBO,23.0,10,14,0.714,1,9,0.111,10.0,17.0,0.588,2.0,3.0,0.667,1.0,1.0,1.0,11,33,0.333,0.0,0.0,0.0
1627738,Deyonta Davis,1612709902,SCW,22.0,25,40,0.625,5,12,0.417,10.0,28.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1627361,Dez Wells,1612709889,OKL,26.0,47,82,0.573,11,26,0.423,3.0,11.0,0.273,4.0,9.0,0.444,1.0,4.0,0.25,4,11,0.364,0.0,0.0,0.0
1627754,Diamond Stone,1612709911,IWA,21.0,15,27,0.556,3,7,0.429,4.0,12.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1629055,Donte Grantham,1612709889,OKL,23.0,3,6,0.5,0,2,0.0,1.0,3.0,0.333,0.0,3.0,0.0,1.0,1.0,1.0,8,15,0.533,0.0,0.0,0.0
1629354,Donte Ingram,1612709918,TEX,22.0,8,13,0.615,0,5,0.0,1.0,5.0,0.2,1.0,10.0,0.1,1.0,1.0,1.0,6,20,0.3,0.0,0.0,0.0
1629078,Doral Moore,1612709926,MHU,21.0,41,59,0.695,3,13,0.231,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1629234,Drew Eubanks,1612709890,AUS,21.0,38,45,0.844,21,34,0.618,7.0,13.0,0.538,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0
204079,Drew Gordon,1612709921,LIN,28.0,33,54,0.611,7,19,0.368,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,3,11,0.273,0.0,0.0,0.0
1629283,Duane Notice,1612709920,RAP,24.0,16,37,0.432,0,9,0.0,4.0,4.0,1.0,4.0,5.0,0.8,3.0,7.0,0.429,8,21,0.381,0.0,1.0,0.0
1626251,Duje Dukan,1612709889,OKL,27.0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
1629130,Duncan Robinson,1612709904,SXF,24.0,10,16,0.625,5,9,0.556,6.0,14.0,0.429,4.0,6.0,0.667,4.0,8.0,0.5,34,76,0.447,0.0,0.0,0.0
1628605,Dusty Hannahs,1612709926,MHU,25.0,21,39,0.538,13,27,0.481,11.0,19.0,0.579,2.0,8.0,0.25,4.0,9.0,0.444,20,44,0.455,0.0,0.0,0.0
1628407,Dwayne Bacon,1612709922,GBO,23.0,9,19,0.474,4,12,0.333,2.0,9.0,0.222,0.0,1.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0
1629058,Dzanan Musa,1612709921,LIN,19.0,47,83,0.566,23,53,0.434,1.0,7.0,0.143,0.0,2.0,0.0,2.0,3.0,0.667,31,83,0.373,0.0,0.0,0.0
1628410,Edmond Sumner,1612709910,FWN,22.0,27,36,0.75,6,14,0.429,4.0,9.0,0.444,1.0,3.0,0.333,2.0,2.0,1.0,7,19,0.368,0.0,0.0,0.0
1629059,Elie Okobo,1612709900,NAS,21.0,6,10,0.6,4,8,0.5,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,8,29,0.276,0.0,1.0,0.0
1629192,Elijah Brown,1612709917,GRD,23.0,5,9,0.556,1,7,0.143,9.0,15.0,0.6,1.0,3.0,0.333,1.0,4.0,0.25,3,20,0.15,0.0,0.0,0.0
1629136,Elijah Stewart,1612709910,FWN,23.0,6,9,0.667,2,8,0.25,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0,12,0.0,0.0,0.0,0.0
1629150,Emanuel Terry,1612709893,CTN,22.0,32,48,0.667,7,18,0.389,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
1628548,Eric Stuteville,1612709900,NAS,23.0,44,60,0.733,7,28,0.25,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
1629328,Evan Smotrycz,1612709911,IWA,27.0,3,6,0.5,1,3,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,8,12,0.667,0.0,0.0,0.0
1629269,Evan Taylor,1612709924,ACC,22.0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
204158,Ferrakohn Hall,1612709923,WCB,28.0,29,49,0.592,7,18,0.389,5.0,24.0,0.208,1.0,1.0,1.0,2.0,5.0,0.4,7,17,0.412,0.0,1.0,0.0
1628402,Frank Jackson,1612709918,TEX,20.0,17,27,0.63,6,11,0.545,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,6,20,0.3,0.0,0.0,0.0
1628221,Gabe York,1612709925,LAK,25.0,26,43,0.605,12,27,0.444,4.0,16.0,0.25,4.0,13.0,0.308,2.0,5.0,0.4,30,85,0.353,0.0,1.0,0.0
203745,Gary Talton,1612709904,SXF,28.0,0,2,0.0,1,4,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.5,0.0,0.0,0.0
1628994,George King,1612709900,NAS,24.0,24,41,0.585,5,12,0.417,4.0,12.0,0.333,5.0,8.0,0.625,3.0,5.0,0.6,14,35,0.4,0.0,0.0,0.0
1627777,Georges Niang,1612709903,SLC,25.0,4,4,1.0,2,5,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1,4,0.25,0.0,0.0,0.0
