ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
1627782,12.43,4.38,3.12,0.99,0.46,2.22,0.393,0.3,0.686
1628578,6.81,9.06,0.72,0.21,2.69,1.71,0.502,0.0,0.65
1628614,6.5,3.2,1.65,1.52,0.55,1.14,0.4,0.324,0.718
1628653,10.43,7.51,1.68,1.7,0.92,2.04,0.385,0.288,0.641
1628526,8.78,4.94,1.51,0.93,0.72,1.46,0.433,0.298,0.669
1628023,9.7,3.98,2.2,1.46,0.28,1.37,0.401,0.284,0.72
1628769,7.35,4.43,3.21,1.74,0.66,1.89,0.42,0.288,0.684
1628618,8.55,5.52,0.54,0.94,0.27,0.53,0.402,0.306,0.765
1627754,13.4,7.61,1.07,0.37,0.89,2.89,0.445,0.271,0.729
1627862,8.2,4.88,1.44,1.16,0.43,1.48,0.393,0.305,0.738
1627967,7.33,9.3,1.38,0.38,0.6,1.58,0.449,0.0,0.723
201957,11.81,9.64,1.98,0.46,1.28,2.0,0.447,0.318,0.7
1626199,14.31,4.46,3.28,1.17,0.38,2.62,0.444,0.325,0.767
1627757,9.31,8.46,1.36,0.62,1.3,2.48,0.467,0.0,0.656
203912,10.8,3.03,1.87,1.13,0.33,1.42,0.402,0.323,0.766
1628523,10.67,6.4,1.86,1.06,0.73,1.26,0.469,0.155,0.634
1627819,12.31,2.33,5.9,0.78,0.12,2.37,0.424,0.346,0.751
1627834,9.81,8.22,0.55,0.27,1.68,2.1,0.463,0.314,0.735
1628671,7.43,5.86,0.53,0.44,0.64,0.86,0.492,0.296,0.72
1628605,9.39,2.41,2.68,0.92,0.14,1.08,0.383,0.341,0.794
1628658,10.06,2.75,3.77,1.18,0.26,1.75,0.396,0.315,0.805
1627770,12.65,3.37,5.44,1.51,0.42,3.37,0.386,0.295,0.775
1628460,9.86,2.49,2.11,0.86,0.14,1.7,0.382,0.327,0.746
203900,11.0,3.89,2.83,1.28,0.41,1.44,0.396,0.306,0.741
1628535,9.33,2.92,1.94,1.15,0.17,1.37,0.363,0.289,0.7
1626722,9.6,3.25,3.0,1.18,0.31,2.06,0.427,0.324,0.731
1628542,10.13,9.11,0.93,0.95,0.64,1.14,0.47,0.296,0.714
203504,14.18,2.46,4.44,1.48,0.21,2.08,0.415,0.331,0.76
1626185,11.21,6.98,0.92,0.88,0.89,2.01,0.412,0.296,0.747
1627817,8.0,5.21,6.35,1.56,0.32,4.12,0.354,0.26,0.708
1628419,9.58,8.21,1.24,0.93,0.95,1.3,0.454,0.296,0.624
1628665,8.71,6.02,0.74,0.66,0.63,1.0,0.42,0.313,0.74
1627829,6.49,3.87,4.27,1.48,0.34,3.35,0.385,0.275,0.738
204064,7.35,7.07,1.79,1.08,0.87,1.6,0.479,0.249,0.502
203511,9.95,6.04,1.73,1.09,1.06,0.9,0.435,0.32,0.761
202087,9.22,4.56,2.31,1.39,0.46,2.04,0.42,0.306,0.708
202458,14.79,2.75,3.55,1.74,0.11,1.89,0.395,0.316,0.764
1627773,9.47,8.35,1.1,0.38,2.2,1.45,0.468,0.196,0.731
200761,8.2,4.67,0.77,1.05,0.74,0.62,0.422,0.311,0.729
1628383,11.38,6.62,1.66,0.68,1.44,2.7,0.444,0.284,0.729
