Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Roosevelt Jones,1627912,CTN,25,20,5.8,0.0,10.4,5.2,5.9,523.9083333333333,2.6,0.452,0.3,0.0,0.7,1.2,0.588,1.5,1.5,0.5
Roscoe Smith,203964,GBO,27,35,16.4,0.6,8.4,1.3,21.6,694.52,8.0,0.489,2.6,0.235,4.9,6.2,0.79,2.1,1.0,1.0
Royce O'Neale,1626220,SLC,24,1,16.6,1.0,4.9,2.9,10.8,36.77166666666667,3.9,0.235,8.8,0.111,2.0,2.0,1.0,2.9,1.0,0.0
Ryan Arcidiacono,1627853,WCB,24,37,9.1,1.8,4.6,7.8,12.6,1463.235,4.2,0.457,4.0,0.451,2.5,3.0,0.833,2.6,1.6,0.2
Sam Thompson,1626280,GBO,25,43,11.2,1.1,5.3,1.8,12.5,1178.0866666666666,4.9,0.436,4.1,0.278,1.7,2.1,0.797,1.4,1.3,0.5
Scoochie Smith,1628871,CTN,23,8,10.3,3.0,4.4,8.5,14.8,276.5516666666667,5.3,0.519,5.7,0.523,1.2,2.0,0.6,2.3,1.7,0.5
Scott Machado,203159,SBL,27,46,14.1,1.7,4.4,10.0,18.2,1444.37,6.4,0.45,4.3,0.405,3.8,4.3,0.884,3.6,1.2,0.1
Sekou Wiggs,1628859,WES,23,17,10.2,0.6,5.5,4.3,12.5,364.37,4.1,0.408,2.9,0.207,3.7,5.1,0.712,3.1,0.9,0.2
Seth Allen,1628875,SXF,23,2,20.0,4.6,1.5,0.0,23.1,23.35,9.3,0.462,9.3,0.5,0.0,0.0,0.0,1.5,3.1,0.0
Shane Edwards,202197,DEL,31,11,7.4,0.2,9.4,2.0,10.8,179.81166666666667,3.6,0.486,1.8,0.111,3.4,4.2,0.81,2.4,1.2,1.0
Shane Richards,1627932,RGV,24,33,12.1,4.0,3.6,1.3,15.9,463.27166666666665,5.4,0.442,10.0,0.403,1.2,1.4,0.833,1.0,1.1,0.1
Shannon Brown,200769,DEL,32,44,10.9,0.7,4.2,1.8,10.9,772.6966666666667,4.4,0.4,2.4,0.294,1.4,2.0,0.721,1.8,1.4,0.2
Shannon Scott,1626263,LIN,25,49,8.6,1.4,5.2,6.2,10.0,1384.79,3.6,0.414,4.1,0.338,1.5,1.8,0.817,2.5,2.9,0.2
Shaquille Harrison,1627885,NAS,24,36,11.1,1.1,5.6,4.4,13.3,1075.5883333333334,5.2,0.464,3.5,0.321,1.8,2.8,0.655,2.2,2.3,0.6
Shaquille Thomas,1627981,MHU,26,37,12.2,0.6,7.7,1.1,14.4,614.6933333333334,5.7,0.471,1.9,0.344,2.3,3.1,0.736,1.5,0.8,1.2
Shawn Long,1627848,DEL,25,33,16.4,0.6,12.4,2.4,23.2,743.7166666666667,9.2,0.562,1.4,0.429,4.2,6.5,0.649,3.6,1.3,2.2
Shawne Williams,200761,IWA,32,38,10.9,2.2,6.1,1.1,13.2,881.7116666666667,4.7,0.429,6.0,0.367,1.7,2.2,0.764,1.1,1.3,0.9
Shevon Thompson,1628123,RAP,24,41,12.7,0.0,13.5,1.1,18.6,831.685,7.8,0.616,0.0,0.0,2.9,3.9,0.744,2.7,1.0,1.7
Shonn Miller,1627919,SLC,24,5,7.2,1.0,9.2,1.7,7.9,105.315,2.7,0.381,3.8,0.273,1.4,1.4,1.0,0.0,1.4,0.7
Sidy Djitte,1628569,OKL,24,9,6.9,0.0,11.4,0.9,6.9,78.61166666666666,2.7,0.4,0.0,0.0,1.4,1.8,0.75,6.4,0.9,1.4
Sindarius Thornwell,1628414,ACC,23,1,13.4,0.0,9.5,3.8,13.4,37.733333333333334,3.8,0.286,3.8,0.0,5.7,5.7,1.0,5.7,1.0,1.0
Skal Labissiere,1627746,RNO,22,2,16.5,1.0,16.0,2.1,28.8,69.95,11.3,0.688,1.5,0.667,5.1,8.7,0.588,3.6,0.5,5.1
Skylar Spencer,1628647,ACC,23,24,9.1,0.0,10.3,1.1,11.4,357.1166666666667,5.0,0.556,0.0,0.0,1.3,2.8,0.464,1.8,1.2,1.9
Stedmon Lemon,1627916,CTN,25,5,15.7,3.6,4.8,2.4,18.1,29.833333333333332,6.0,0.385,8.4,0.429,2.4,2.4,1.0,0.0,1.2,0.0
Stefhon Hannah,202513,DEL,32,9,16.0,3.8,3.6,8.9,17.8,141.69333333333333,6.1,0.381,9.9,0.385,1.8,2.3,0.778,6.6,2.5,0.0
Stephan Hicks,1627208,FWN,26,49,10.5,1.3,6.7,1.8,15.4,1446.8833333333334,5.1,0.481,3.9,0.338,4.0,5.0,0.805,1.3,1.4,0.4
Stephaun Branch,1628653,SBL,22,50,16.2,1.5,9.7,1.7,17.8,1076.6033333333332,6.9,0.425,4.7,0.314,2.5,4.2,0.591,2.6,2.3,1.3
Stephen Zimmerman,1627757,SBL,21,25,10.0,0.0,11.1,2.2,14.9,393.11333333333334,5.7,0.569,0.2,0.0,3.6,5.8,0.619,3.4,1.3,2.2
Sterling Brown,1628425,WIS,23,3,20.9,1.8,6.6,2.2,23.8,98.19166666666666,8.8,0.421,6.2,0.294,4.4,5.1,0.857,4.4,2.2,0.4
Steven Green,1628646,NAS,25,6,8.8,1.3,5.0,1.3,8.8,28.7,3.8,0.429,3.8,0.333,0.0,0.0,0.0,0.0,1.3,0.0
T.J. Williams,1628494,GBO,23,37,15.7,0.6,4.7,5.3,16.5,708.9266666666666,6.3,0.4,2.9,0.211,3.2,4.8,0.681,3.0,1.6,0.0
TJ Leaf,1628388,FWN,21,3,20.2,2.6,8.8,0.4,25.7,98.01666666666667,11.4,0.564,5.1,0.5,0.4,1.1,0.333,1.8,0.4,0.0
TJ Price,1628120,LAK,24,49,11.3,1.9,3.0,2.9,11.6,1371.2783333333334,4.4,0.388,5.4,0.345,1.0,1.1,0.884,1.7,1.8,0.6
Tahjere McCall,1628769,LIN,23,37,8.7,0.6,5.8,3.7,11.6,1042.3333333333333,4.3,0.498,1.9,0.315,2.3,3.5,0.673,2.4,2.3,0.9
