index,Player,realgm ID,Gl 3Pmpg,Gl Astpg,Gl Fgapg,Gl Ptspg,Gl Rebpg,GLeague Clusters,Height,Weight
43,David Nwaba,/player/David-Nwaba/Summary/58185,0.1,1.3,11.1,17.6,8.6,Inside Scoring Bigs ,76,209
44,Jarvis Varnado,/player/Jarvis-Varnado/Summary/2326,0,1.1,12.4,16.8,11.9,Inside Scoring Bigs ,81,230
45,Lamar Patterson,/player/Lamar-Patterson/Summary/6235,1.9,4.9,16.5,21.8,6,Swiss Army Knives,77,225
46,Othyus Jeffers,/player/Othyus-Jeffers/Summary/7679,0.3,3.1,13.8,19.1,8.3,Inside Scoring Bigs ,77,210
47,Erick Green,/player/Erick-Green/Summary/3715,2.8,3.9,16.5,24.7,4.2,Sweet-Shooting Bucket Getters,75,178
48,Cory Higgins,/player/Cory-Higgins/Summary/4071,1.5,2.4,14.1,17.6,4.3,Swiss Army Knives,77,181
49,Terrel Harris,/player/Terrel-Harris/Summary/1648,2,3.5,11.1,14.8,6.3,Low Usage Defenders,77,190
50,Okaro White,/player/Okaro-White/Summary/9344,1.8,1.9,15.5,20.1,9.5,High Usage Scoring Bigs,80,215
51,Andrew Goudelock,/player/Andrew-Goudelock/Summary/9577,1.8,5,16.6,20.5,3.8,Swiss Army Knives,75,200
52,Jorge Gutierrez,/player/Jorge-Gutierrez/Summary/6724,0.3,6.5,11.2,14,5.8,Facilitators,75,195
53,Mikki Moore,/player/Mikki-Moore/Summary/703,0,1.4,9.2,13.6,9.1,Low Usage Defenders,83,225
54,Malcolm Lee,/player/Malcolm-Lee/Summary/2182,1.6,7,13.2,14.3,5,Facilitators,77,200
55,Daniel Orton,/player/Daniel-Orton/Summary/2257,0.1,2.4,11.4,17,9.8,Inside Scoring Bigs ,82,255
56,Troy Williams,/player/Troy-Williams/Summary/24319,2.5,2.5,18.4,23.7,7.1,Sweet-Shooting Bucket Getters,79,210
57,Jabari Brown,/player/Jabari-Brown/Summary/24164,2.5,2.4,18.1,25.4,4.2,Sweet-Shooting Bucket Getters,76,215
58,Jordan McRae,/player/Jordan-McRae/Summary/9345,1.9,4.9,17.1,22.3,4.5,Swiss Army Knives,77,179
59,Cory Jefferson,/player/Cory-Jefferson/Summary/4149,1,1.3,14.4,19.5,10.7,Inside Scoring Bigs ,81,215
60,Lazar Hayward,/player/Lazar-Hayward/Summary/2308,1,1.9,14.1,18.1,8.3,Inside Scoring Bigs ,78,225
61,Chris Quinn,/player/Chris-Quinn/Summary/792,1.3,6.8,11.5,14.1,2.9,Facilitators,74,175
62,Lester Hudson,/player/Lester-Hudson/Summary/1690,3,4.8,15.2,20,6.8,Swiss Army Knives,75,190
63,Jared Cunningham,/player/Jared-Cunningham/Summary/6804,1.7,4.1,13.9,18.7,3.5,Swiss Army Knives,77,188
64,Damion James,/player/Damion-James/Summary/2260,0.9,2.5,15.6,18.2,9.5,Inside Scoring Bigs ,79,225
65,Anthony Brown,/player/Anthony-Brown/Summary/6998,2.3,2.7,14.2,18.6,5,Swiss Army Knives,79,210
66,Chris Hunter,/player/Chris-Hunter/Summary/1595,0.1,0.9,15.2,21.1,10.2,Inside Scoring Bigs ,83,240
67,Dan Gadzuric,/player/Dan-Gadzuric/Summary/225,0,1.4,13.2,16.8,15.9,Inside Scoring Bigs ,83,240
68,Ben Uzoh,/player/Ben-Uzoh/Summary/8107,0.3,5.3,13.5,14.5,5.3,Facilitators,75,205
69,DaJuan Summers,/player/DaJuan-Summers/Summary/1617,1.4,1.4,17.4,20,8.4,High Usage Scoring Bigs,80,230
