Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Jerome Robinson,1629010,ACC,21,6,17.9,3.3,4.1,2.8,24.8,219.535,8.5,0.477,7.1,0.465,4.4,5.7,0.771,2.3,1.3,0.2
Jevon Carter,1628975,MHU,23,12,17.6,2.4,5.9,5.9,20.1,399.975,7.5,0.423,6.6,0.37,2.7,3.4,0.789,2.3,3.4,1.1
Joe Chealey,1629147,GBO,23,14,14.4,1.0,5.4,6.8,17.2,453.295,6.0,0.42,2.9,0.351,4.1,5.0,0.81,2.9,1.0,0.1
Joe Kilgore,1629362,WCB,22,16,12.3,0.7,4.3,1.4,11.7,354.17833333333334,4.5,0.364,3.9,0.184,2.0,2.7,0.741,1.4,0.8,0.5
Joel Berry II,1629137,SBL,23,10,17.1,1.8,1.9,4.0,15.3,225.61833333333334,6.1,0.355,7.2,0.244,1.4,1.9,0.75,1.9,0.8,0.3
John Bohannon,204254,MNE,27,9,7.9,0.0,13.0,1.7,13.7,105.12833333333333,6.2,0.783,0.0,0.0,1.4,4.1,0.333,2.1,0.3,3.4
John Dawson,1628617,GBO,23,8,6.7,1.2,5.1,2.8,4.7,91.365,1.6,0.235,4.3,0.273,0.4,0.8,0.5,2.0,0.0,0.4
John Gillon,1628552,ERI,24,12,11.8,2.2,4.4,6.1,19.7,325.34,5.0,0.421,5.8,0.385,7.5,8.3,0.907,2.9,1.7,0.1
John Holland,204066,AUS,30,7,13.8,2.4,3.7,1.4,18.5,223.95666666666668,5.3,0.384,7.7,0.313,5.5,5.6,0.971,2.4,2.1,0.0
John Jenkins,203098,WES,27,10,18.5,3.1,3.7,3.3,25.4,369.5833333333333,9.1,0.489,6.9,0.451,4.2,4.4,0.956,2.4,1.1,0.0
John Petrucelli,204181,LAK,26,14,10.3,1.5,5.7,3.3,14.9,340.0733333333333,4.7,0.454,3.2,0.467,4.1,5.1,0.813,1.9,1.7,1.0
Johnathan Motley,1628405,ACC,23,13,17.5,0.9,11.4,3.2,26.4,457.025,10.1,0.577,3.2,0.275,5.4,7.3,0.731,3.7,0.5,1.0
Johnathan Williams,1629140,SBL,23,14,18.1,0.2,10.6,2.1,21.8,435.4266666666667,9.8,0.539,1.6,0.105,2.1,4.8,0.448,2.9,0.7,1.6
Johnny Hamilton,1629148,GRD,24,14,9.9,0.1,11.0,1.9,13.9,392.165,5.7,0.574,0.2,0.5,2.4,3.9,0.619,2.3,0.6,3.6
